%time TAmb TDif TRes _block_jacobian_check _block_jacobian_check_tol _block_solver_experimental_mode _cs_rel_tol _cs_solver _cs_step_size _enforce_bounds _events_default_tol _events_tol_factor _iteration_variable_scaling _log_level _nle_solver_check_jac_cond _nle_solver_default_tol _nle_solver_max_iter _nle_solver_min_tol _nle_solver_regularization_tolerance _nle_solver_step_limit_factor _nle_solver_tol_factor _rescale_after_singular_jac _rescale_each_step _residual_equation_scaling _runtime_log_to_file _use_Brent_in_1d _use_jacobian_equilibration and1.u1 and1.u2 and1.y constantVoltage.V constantVoltage.n.v constantVoltage.p.v fixedtemperature2.T ground.p.i heatcapacitor1.C heatcapacitor1.T heatcapacitor1.der(T) heatcapacitor1.der_T heatcapacitor1.port.Q_flow heatingResistor.R heatingResistor.R_ref heatingResistor.T heatingResistor.T_ref heatingResistor.alpha heatingResistor.heatPort.Q_flow heatingResistor.p.i heatingResistor.p.v heatingResistor.useHeatPort heatingResistor.v idealSwitch.Goff idealSwitch.LossPower idealSwitch.Ron idealSwitch.T idealSwitch.control idealSwitch.s idealSwitch.unitCurrent idealSwitch.unitVoltage idealSwitch.useHeatPort idealSwitch.v logicalNot.u onOffController.bandwidth onOffController.pre_y_start onOffController.reference onOffController.u or1.u2 ramp.duration ramp.height ramp.offset ramp.startTime select1.k select2.k temperaturesensor1.port.Q_flow thermalconductor1.G thermalconductor1.dT thermalconductor1.port_a.Q_flow
0 293.15 2 293.15 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 293.15 9.999980000030002 9.999980000030002 9.999980000030002 10 10 293.15 293.15 0.00392156862745098 -9.999980000030002 0.9999990000010001 9.999990000010001 1 9.999990000010001 1e-05 9.999979998752418e-06 1e-05 293.15 0 0.9999990000010001 1 1 0 9.999989998732417e-06 1 2 0 25 20 0 6 25 25 2 0 0 0 0.1 0 0
0.1 293.15 2 294.1427974472663 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 294.1427974472663 9.861918168710076 9.861918168710076 9.861918168710076 10.03893323322613 10 293.15 293.15 0.00392156862745098 -9.961197913436706 0.9961207836002861 9.999990038792165 1 9.999990038792165 1e-05 9.9225661546775e-06 1e-05 293.15 0 0.9961207836002861 1 1 0 9.961207835473829e-06 1 2 0 25 20.9927974472663 0 6 25 25 2 0 0 0 0.1 0.9927974472662981 0.09927974472662981
0.2 293.15 2 295.1221803414524 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 295.1221803414524 9.726015429337499 9.726015429337499 9.726015429337499 10.07734040554715 10 293.15 293.15 0.00392156862745098 -9.923233463482742 0.9923243310558522 9.99999007675669 1 9.99999007675669 1e-05 9.847075779230785e-06 1e-05 293.15 0 0.9923243310558522 1 1 0 9.923243309728491e-06 1 2 0 25 21.97218034145243 0 6 25 25 2 0 0 0 0.1 1.972180341452429 0.1972180341452429
0.3 293.15 2 296.0881255645057 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 296.0881255645057 9.592259742942506 9.592259742942506 9.592259742942506 10.11522061037278 10 293.15 293.15 0.00392156862745098 -9.886072299393081 0.9886082072854957 9.999990113917926 1 9.999990113917926 1e-05 9.773461876118197e-06 1e-05 293.15 0 0.9886082072854957 1 1 0 9.886082073862212e-06 1 2 0 25 22.93812556450575 0 6 25 25 2 0 0 0 0.1 2.938125564505754 0.2938125564505754
0.4 293.15 2 297.040814708868 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 297.040814708868 9.460611263564953 9.460611263564953 9.460611263564953 10.15258096897522 10 293.15 293.15 0.00392156862745098 -9.849692734451752 0.9849702436115559 9.999990150297565 1 9.999990150297565 1e-05 9.701663806908476e-06 1e-05 293.15 0 0.9849702436115559 1 1 0 9.84970243500527e-06 1 2 0 25 23.89081470886799 0 6 25 25 2 0 0 0 0.1 3.890814708867993 0.3890814708867993
0.5 293.15 2 297.9801248195773 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 297.9801248195773 9.331072765412072 9.331072765412072 9.331072765412072 10.18941665959127 10 293.15 293.15 0.00392156862745098 -9.814085247369801 0.9814094879015631 9.999990185905121 1 9.999990185905121 1e-05 9.631645829407353e-06 1e-05 293.15 0 0.9814094879015631 1 1 0 9.814094878990431e-06 1 2 0 25 24.83012481957729 0 6 25 25 2 0 0 0 0.1 4.830124819577293 0.4830124819577293
0.6 293.15 2 298.906830177657 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 298.906830177657 9.203523957808661 9.203523957808661 9.203523957808661 10.22575804618263 10 293.15 293.15 0.00392156862745098 -9.779206975574365 0.9779216538881976 9.999990220783461 1 9.999990220783461 1e-05 9.563307611329124e-06 1e-05 293.15 0 0.9779216538881976 1 1 0 9.779216538774449e-06 1 2 0 25 25.75683017765704 0 6 25 25 2 0 0 0 0.1 5.756830177657037 0.5756830177657036
0.7 293.15 2 299.8206730035925 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 299.8206730035925 9.077987431030751 9.077987431030751 9.077987431030751 10.26159501974873 10 293.15 293.15 0.00392156862745098 -9.745054731390004 0.9745064228017685 9.999990254935772 1 9.999990254935772 1e-05 9.496627680385792e-06 1e-05 293.15 0 0.9745064228017685 1 1 0 9.745064227573152e-06 1 2 0 25 26.67067300359253 0 6 25 25 2 0 0 0 0.1 6.670673003592526 0.6670673003592527
0.7999999999999999 293.15 2 300.7222692888125 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 300.7222692888125 8.954366203142408 8.954366203142408 8.954366203142408 10.29695173681618 10 293.15 293.15 0.00392156862745098 -9.711593132023657 0.9711602563546092 9.999990288397436 1 9.999990288397436 1e-05 9.431522435581902e-06 1e-05 293.15 0 0.9711602563546092 1 1 0 9.711602563911015e-06 1 2 0 25 27.57226928881249 0 6 25 25 2 0 0 0 0.1 7.572269288812493 0.7572269288812493
0.8999999999999999 293.15 2 301.6116252379301 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 301.6116252379301 8.832647669158357 8.832647669158357 8.832647669158357 10.33182844070314 10 293.15 293.15 0.00392156862745098 -9.678810192951373 0.9678819560906181 9.999990321180439 1 9.999990321180439 1e-05 9.367954809283082e-06 1e-05 293.15 0 0.9678819560906181 1 1 0 9.678819560932084e-06 1 2 0 25 28.46162523793015 0 6 25 25 2 0 0 0 0.1 8.46162523793015 0.846162523793015
0.9999999999999999 293.15 2 302.4889183933333 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 302.4889183933333 8.712796191645019 8.712796191645019 8.712796191645019 10.36623209385621 10 293.15 293.15 0.00392156862745098 -9.64668803097835 0.9646697336855302 9.999990353302662 1 9.999990353302662 1e-05 9.305876951827849e-06 1e-05 293.15 0 0.9646697336855302 1 1 0 9.646697337828414e-06 1 2 0 25 29.3389183933333 0 6 25 25 2 0 0 0 0.1 9.338918393333302 0.9338918393333302
1.1 293.15 2 303.3543327285151 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 0 0 10 0 10 293.15 0 1 303.3543327285151 8.594775762407423 8.594775762407423 8.594775762407423 10.40016991092216 10 293.15 293.15 0.00392156862745098 -9.615209035258934 0.9615218280501191 9.99999038478172 1 9.99999038478172 1e-05 9.245242257922658e-06 1e-05 293.15 0 0.9615218280501191 1 1 0 9.615218280245585e-06 1 2 0 25 30.20433272851511 0 6 25 25 2 0 0 0 0.1 10.20433272851511 1.020433272851511
